id,aggression,offense,codemixed,tweet
872,0,0,0,"Deprived of justice for decades is acceptable. @USER @USER @USER @USER pls act now. It's already too late

CJI and DYC keep giving such statements every other day but do nothing in delivering justice

That includes undertrials who don't get bail "
3271,1,1,1,યોગ્ય ન્યાય મળવો જોઈએ 
2534,2,1,0,Every Stupid Idea starts with these same lines. We’ve seen it during demonetisation as well. 
20,2,1,1,"All undertrials, criminals and convicts have decided to join भा.चौ.पा. (BJP). Should they consult Shah or Mukul! Or Modi (Nirav) will tell them a escape route!
Source-No Source. Original. "
7729,0,0,1,"Islamic phobia and Nehru, Gandhi phobia से कब बाहर आओगे। कभी तो ढंग की बात करो। ४० महीनों में क्या कर लिया? और बिगाड़ दिया। "
7726,2,0,0,"It is good that you have written so much positives for former PM Nehru He made mess of Kashmir when our forces were evicting the Rajakars he handed over Tibet,security council seat and war lands of our to China on plater and was against liberation of Goa and Hydrabad "
7613,0,0,1,Grt news. Happy for all hardworking & independent women's who truly deserves equal pay as they r contributing in nation building. But Wht abt educated women's who r misusing their education by filing #falsecases courtesy #GenderBiasedLaws & extorting money wid help of #Judiciary ? 
6502,0,0,1,Scientist   C R Sathya  and  his  assistant  Velappan Nair. Photo  was  taken  by  French  photographer  Henri Cartier-Bresson.    It  was  taken on 2/2/1968  and  many  dignitaries  present  during  launch    that  day   including  Indira Gandhi and  J R D Tata. 
1767,1,1,1,"For our society every man is like Ravana and every woman is Sita, so as per supreme court verdict on #MaritalRape "
7819,0,0,1,Why do you need to mention it categorically that Nehru was a lawyer (educated)...do you know of any uneducated lawyers? 
5540,2,0,1,"The Tories have proved themselves incapable of governing properly.  Lock-downs, net zero, botched Brexit, illegal migrants...  It's over. "
6106,0,0,0,"They can. There's no reason they can't. But, like Jones, you have to be prepared to back up your rights or your claim.

If you lose, that was the gamble you took. "
2162,2,1,1,Mannan  aap lado un darindon se jo kisi aur ki beti ko Love Jihad main phasa ke unko maar dete hain.Problem aap se nahin unse hai jo naam  badalkar dhoka  Dene ki mansha  rakhte  hain. 
1664,1,0,0,"All these matters only to Hs. Now every application for divorce will allege marital rape, like dowry harassment. How will a husband counter a rape allegation. As usual, Supreme, also in confusing and creating strain in relationships "
4831,1,0,1,"They asked a  Presidential Candidate, How he will end Insecurity, He switch into Food Inflation topics.

My candidate just did a two-in one session on improving security and education.

Ooshey Olohun, Mi o ni Leader oniro "
5251,1,1,1,In iran the regime are imprison or murdering women and girls because of Hijab.Few days ago they killed a twenty two yo girl #Mahsa_Amini because her hijab was not according to the demands of the regime.We need world to hear us PLEASE BE OUR VOICE #مهسا_امینی #OpIran 
5964,2,1,1,"Infanticidal, Marxist trash.
The lot of ye,,,, "
527,0,0,0,"In 8th std ,1993,Patiala had floods in low lying urban areas:

Didn’t did holiday homework reqd: 7-10 days +

Told teacher ,house got flooded,Ground floor with water homework drowned

But was caught in PTM teacher remembered & asked my mom how’s ur home Then came Slap "
1879,0,0,1,#MaritalRape 
722,1,0,0,What does that mean for people who were behind jail for years altogether as undertrials and then released as innocent. 
3398,0,0,1,नोबी की बात ही अलग थी 
5414,1,0,0,"Says a white man who sympathises with Pat King and his ilk. I live right downtown too. Let me guess, you didn't get any rape threats? Get a mask or hijab pulled off you, or a broken window? Didn't get spit on and mocked like the crying homeless people I saw with my own eyes? "
8001,0,0,0,"Appreciate your time. I will protect my own time at all cost. Only if there’s sort of emergency then I’ll come help. If it’s text messages that doesn’t require urgent attention, then they won’t get any.

My time and attention is expensive. "
6730,0,0,1,"The Punjab Government was forced to accede to some of the demands, for instance giving medical facilities to some of the undertrials. He meanwhile went into a critical stage following his fast unto death, and it was only Bhagat Singh’s intervention that made him break the fast "
1791,0,0,0,"I don't think there would be #MaritalRape cases in Indian society. 
This is bad activism, the court would be proved complicit in sowing seeds of distrust and breaking the family, ruining children lives.
If husband-wife are in unbearable term, better divorce than file a rape case. "
2068,1,1,0,"52 envoys are not hiding their identity. 

52 envoys are not there for #LoveJihad . 

There is difference between Jihadis and envoys

But who will teach #Ndtv They don't know even the difference between Anti Hindu Propaganda and journalism

Segregation started from Muslims sidr "
1843,1,0,0,"Supreme Court today gave a order where wife can do abortion if she said that the sex done with his husband was marital rape . 
So what is marriage for ? Is it just to pay alimony to wife after divorce ? 
Who are making such laws did men have no rights ? #maritalrape "
152,1,0,0,Exactly think about the millions of undertrials who are in the jail because they can't afford an advocate to come out on bail. 
3230,2,1,1,"Modi MUST apologise to the nation for the damage he is doing to the country. Demonetisation, death of millions from COVID, Lockdown, Unemployment, Murders of Minorities & their assets destroyed, etc to Bilkis Bano injustice. He is I love with himself. "
3806,0,0,1,Demonetisation me aap ka bhot nukshan ho gaya hai lag rha hai…god bless 
5656,0,0,0,I'd say if you have one of the FA apps you'd be fine as long as you set the preferences on load. Mine is setup just to load stories only. Otherwise avoid the site. It's not worth the risk 
5056,1,0,1,"Bahot Badiya dalit teacher hai kay karogi ab 
Kyu Chup ho.. "
7998,0,0,0,"2 tickets going for Glasgow here, family emergency and can’t make it, willing to sell on the cheap 420 each to the right person "
5851,2,0,0,"Worse on wanting further lockdowns, said that 'freedom day' last year in July was 'catastrophic' and a bad idea, when we should've opened everything up months before. It's dragging lockdown on for way too long that's made our economy catastrophic and in such a mess. "
6443,0,1,1,Indira Gandhi  said Garibi Hatowo in 1971. Its still hapenning after 50 years. 
